File;Result;Init Time;Solve Time;Propagations;Decisions
flat30-93.cnf;SAT;0.00031699999999999784;0.0002460000000000101;76;14
flat30-87.cnf;SAT;0.00033400000000000096;0.0002349999999999991;74;16
flat30-50.cnf;SAT;0.00036499999999999033;0.00023100000000000898;75;15
flat30-44.cnf;SAT;0.00031799999999999884;0.0002249999999999891;77;13
flat30-78.cnf;SAT;0.00032400000000000484;0.0002390000000000031;75;15
flat30-6.cnf;SAT;0.00026600000000000235;0.00022400000000000198;73;17
flat30-79.cnf;SAT;0.00031899999999999984;0.0002360000000000001;77;13
flat30-7.cnf;SAT;0.00027299999999999547;0.00023100000000000898;72;18
flat30-45.cnf;SAT;0.00031899999999999984;0.0002299999999999941;75;15
flat30-51.cnf;SAT;0.0002940000000000026;0.0002400000000000041;75;15
flat30-86.cnf;SAT;0.0003610000000000002;0.0002520000000000022;73;17
flat30-92.cnf;SAT;0.00032300000000000384;0.00021699999999999497;77;13
flat30-84.cnf;SAT;0.00028400000000000647;0.0002400000000000041;75;15
flat30-90.cnf;SAT;0.00031899999999999984;0.00022099999999999898;75;15
flat30-47.cnf;SAT;0.00027200000000000835;0.0002289999999999931;72;18
flat30-53.cnf;SAT;0.00032600000000000684;0.0002380000000000021;75;15
flat30-5.cnf;SAT;0.00026099999999999735;0.00022199999999999998;76;14
flat30-4.cnf;SAT;0.0003110000000000057;0.00022700000000000498;77;13
flat30-52.cnf;SAT;0.0002859999999999946;0.0002380000000000021;75;15
flat30-46.cnf;SAT;0.0003500000000000031;0.0002390000000000031;76;14
flat30-91.cnf;SAT;0.00034000000000000696;0.00024199999999999222;75;15
flat30-85.cnf;SAT;0.00026099999999999735;0.00021799999999999597;76;14
flat30-81.cnf;SAT;0.00032500000000000584;0.0002510000000000012;72;18
flat30-95.cnf;SAT;0.0003439999999999971;0.00021999999999999797;76;14
flat30-42.cnf;SAT;0.0004709999999999992;0.0002289999999999931;77;13
flat30-56.cnf;SAT;0.0003009999999999957;0.0002479999999999982;71;19
flat30-57.cnf;SAT;0.00033299999999999996;0.00021899999999999697;76;14
flat30-43.cnf;SAT;0.00025999999999999635;0.00021799999999999597;75;15
flat30-1.cnf;SAT;0.00031199999999999284;0.00021800000000000985;76;14
flat30-94.cnf;SAT;0.00033400000000000096;0.00024299999999999322;74;16
flat30-80.cnf;SAT;0.00026099999999999735;0.00021999999999999797;76;14
flat30-96.cnf;SAT;0.00032100000000000184;0.0002450000000000091;73;17
flat30-82.cnf;SAT;0.00025799999999999434;0.00022099999999999898;75;15
flat30-69.cnf;SAT;0.0002989999999999937;0.00022199999999999998;75;15
flat30-3.cnf;SAT;0.0002580000000000082;0.0002329999999999971;78;12
